author,published_at,updated_at,like_count,text
@badanikeshgamer9052,2024-01-13T15:48:36Z,2024-01-13T15:48:36Z,0,Save hasdeo<br>😢
@PrajjwalBaranwal-hn8ur,2024-01-13T15:48:34Z,2024-01-13T15:48:34Z,0,Carry bro free fire pe rost karo
@_Noob_999,2024-01-13T15:46:04Z,2024-01-13T15:46:04Z,0,"<a href=""https://www.youtube.com/watch?v=vcLRWiTNCbQ&amp;t=4m08s"">4:08</a><br>Ooo bhaaiii ...<br>Ye sabse badhiya hai.....😂😂😂😂😂😂"
@Sarvent_of_all_god_7,2024-01-13T15:45:06Z,2024-01-13T15:45:06Z,0,Comment padne aye ho n 😊
@CuteCurl360,2024-01-13T15:38:39Z,2024-01-13T15:38:39Z,0,Burgar pan 😂😂😂😂
@CarryMinati,2023-12-24T07:09:24Z,2023-12-24T07:09:24Z,62977,"Happy new year! sabhee ko shukriya iss saal itna pyaar dene ke liye man kar raha hai tum sabka kadi chawaal mein chocolate daalke khilaun, Gulabi dil gulabi dil."
@milonacharjee9554,2024-01-14T05:58:58Z,2024-01-14T05:58:58Z,0,Love from tripura ❤
@ShahidRz,2024-01-14T05:36:33Z,2024-01-14T05:36:33Z,0,Mera comment kab viral hoga 😢<br><br>Kya Aap Affiliate Marketing Karke 80%  Se  90% 😱 💸 Commission kamana Chahte Ho  | 👇 Read Captions 👇<br>.<br>.<br>.<br> Agar aap Amazon Ya Flipkart Par Affiliate Marketing Karte Ho Waha Aap ko Sirf 7% Ya 8% 🥺  Commission&quot; Milega 😢 Lekin Me Aap Ko Ek Aisi Website batane Wala Hu Jise Aap Affiliate Marketing Karke 80% Se 90% 😱  Commission&quot; Milega 💸🤑 Agar Jana Chahte ? 🤔 Ho Toh Reply Karo Batao Ga  or  Ye India 🇮🇳 Ki Legal Website Hai Chahe Toh Documents Dikhata📄 Hu Reply Karo ✍️ Batao Ga 👍
@FryTokGaming,2024-01-14T05:34:39Z,2024-01-14T05:34:39Z,0,"<a href=""https://www.youtube.com/watch?v=vcLRWiTNCbQ&amp;t=6m34s"">6:34</a>  Moye moye was personal 💀🤣"
@SCORPIOLOVER010,2024-01-14T05:30:22Z,2024-01-14T05:30:22Z,0,"Shayari store 0001 like kro abh i <a href=""https://www.youtube.com/watch?v=vcLRWiTNCbQ&amp;t=1m36s"">1:36</a>"
@exitedboy295,2024-01-14T05:18:37Z,2024-01-14T05:18:37Z,0,❤❤❤
@ramkatara8541,2024-01-14T05:17:54Z,2024-01-14T05:17:54Z,0,ye ladki ne itna kese kha lia bhai 😅😅😅😅😅
@pakgamers411,2024-01-14T04:26:11Z,2024-01-14T04:26:11Z,0,Bro Please Shout Out Me Big Fan🎉🎉❤❤❤
@stylishprincejavad,2024-01-14T04:25:03Z,2024-01-14T04:25:03Z,0,Moye moye was epic 😂😂😂
@ZIXIYO,2024-01-14T04:23:45Z,2024-01-14T04:23:45Z,0,Carry bhai 1 naya cringe youtuber milla uske YT channel ka naam he Prateekkhambra
@user-et3sp4qr3b,2024-01-14T04:23:08Z,2024-01-14T04:23:08Z,0,Sale ab banale vimal ka paratha 😂
@user-rs7lw1nf4k,2024-01-14T03:48:46Z,2024-01-14T03:48:46Z,0,Binod
@firstlinefirst2978,2024-01-14T03:38:21Z,2024-01-14T03:38:21Z,0,क्या आपकी टीम फ़िलिस्तीन या इज़राइल है?
@Prathamesh_chivade,2024-01-14T03:16:44Z,2024-01-14T03:16:44Z,0,Plzz sir
@RahulSingh-jq9ni,2024-01-14T03:06:05Z,2024-01-14T03:06:05Z,0,😅
@devdhar2584,2024-01-14T03:05:09Z,2024-01-14T03:05:09Z,0,"Dear carry you can lead the whole youth in the positive  direction , superb ❤"
@laxmi.....phukan.......sel5045,2024-01-14T03:02:09Z,2024-01-14T03:02:09Z,0,Murgo ka khandaan 🤣🤣🤣
@shivrajsavra6619,2024-01-14T02:57:14Z,2024-01-14T02:57:34Z,1,My dream is (SI) बोले तो sud inspector ...
@hq1gamer554,2024-01-14T02:50:58Z,2024-01-14T02:50:58Z,1,Love you carry Bhai ❤❤❤❤
@jannatsky1m486,2024-01-14T02:48:19Z,2024-01-14T02:48:19Z,0,Ajju bhai ke face reveal par video banao please please
@user-zp2hr6wf6y,2024-01-14T02:23:30Z,2024-01-14T02:23:30Z,0,😂😂😂
@user-er5xn7hf7k,2024-01-14T01:38:12Z,2024-01-14T01:38:12Z,0,PLEASE GIVE UC FOR MY PUBG ACCOUNT PLEASE<br>Region : pakistan<br>51817816302
@user-er5xn7hf7k,2024-01-14T01:38:04Z,2024-01-14T01:38:04Z,0,PLEASE GIVE UC FOR MY PUBG ACCOUNT PLEASE<br>Region : pakistan<br>51817816302
@jubayernasim2437,2024-01-13T23:15:05Z,2024-01-13T23:15:05Z,0,"Fan hu tera , thu kisiki video deka lakin hamari desh Bangladesh ki Nam q use Kiya. 🇧🇩🇧🇩🇧🇩"
@huzzigamelikemadness,2024-01-13T23:04:19Z,2024-01-13T23:04:19Z,0,😂😂😂😂😂😂😂😂😂 yar 😂😂😂😂😂😂😂😂😭😭😭
@kryzaane9370,2024-01-13T21:52:34Z,2024-01-13T21:52:34Z,1,Chii I can&#39;t see the full video etne gaande combination Wale foods ❌
@goth_beach,2024-01-13T21:41:42Z,2024-01-13T21:41:42Z,1,"<a href=""https://www.youtube.com/watch?v=vcLRWiTNCbQ&amp;t=5m26s"">5:26</a> bhaiya ka soda🫦🫦🫦🔥🔥🥵🥵🥵🥵🥵"
@vinodsouda,2024-01-13T21:39:29Z,2024-01-13T21:39:29Z,1,"Hi brother, one request to you and all my Indians friends now In These days some Africans posting some disturbing video about indian Street food  and that became more viral in abroad usa .Canada. ln European countries please do. Something if Possible"
@AVINASH-ri2vg,2024-01-13T21:10:20Z,2024-01-13T21:10:20Z,1,Carry 🎉🎉
@DESIBOYSK.,2024-01-13T20:33:46Z,2024-01-13T20:33:46Z,0,Total gaming fan like
@tiyajain6892,2024-01-13T20:32:54Z,2024-01-13T20:32:54Z,0,Bhai kya pela h moj krdi
@tiyajain6892,2024-01-13T20:25:30Z,2024-01-13T20:25:30Z,0,Shikanji armstrong😂😂
@khushichowdhary807,2024-01-13T20:13:36Z,2024-01-13T20:13:36Z,1,Vo lal ab lal nhi rha kala ho chu ka he😢😢😅😅
@Star-mx1vw,2024-01-13T20:06:39Z,2024-01-13T20:06:39Z,0,"<a href=""https://youtube.com/shorts/_s1pEOBlOyg?si=j9uYLOtkA4Jw1Iw_"">https://youtube.com/shorts/_s1pEOBlOyg?si=j9uYLOtkA4Jw1Iw_</a>"
@snakeman760,2024-01-13T19:56:29Z,2024-01-13T19:56:29Z,0,😂
@socialmediaviral0,2024-01-13T19:55:22Z,2024-01-13T19:55:22Z,0,Carry Bhai Pakistani 🇵🇰 Youtuber ko thikane lago&#39;n Humare Desh Ke Bare Main anap sanap bolte hai ❤❤❤
@AMAXGAMING_..,2024-01-13T19:55:12Z,2024-01-13T19:55:12Z,0,Please carry Bhai sayadzan9 ko rost karo bhai 😅😅😅😅😅😅😅😅😅😅
@roshanidakhode1061,2024-01-13T19:52:23Z,2024-01-13T19:52:23Z,0,Carry bhai we want to see you in bigg boss❤️👍
@khatrifamilyvlogs2585,2024-01-13T19:45:04Z,2024-01-13T19:45:04Z,0,Oh my god what a Vlog 😅😅😅😅😅😂😂😂😂😂<br>I wish he roast my video 😂😂😂😂
@luckychouhan43,2024-01-13T19:41:10Z,2024-01-13T19:41:10Z,0,Carry bhai op😂😂😂
@DARKTechnology999,2024-01-13T19:37:40Z,2024-01-13T19:37:40Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂
@DARKTechnology999,2024-01-13T19:37:29Z,2024-01-13T19:37:29Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂
@DARKTechnology999,2024-01-13T19:37:18Z,2024-01-13T19:37:18Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂. Ase video  bna ke ma. C@dedo 😂😂😂
@DARKTechnology999,2024-01-13T19:36:40Z,2024-01-13T19:36:40Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂.
@DARKTechnology999,2024-01-13T19:36:23Z,2024-01-13T19:36:23Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂. Fast 😂
@DARKTechnology999,2024-01-13T19:36:09Z,2024-01-13T19:36:09Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂 pliss
@DARKTechnology999,2024-01-13T19:35:50Z,2024-01-13T19:35:50Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂
@DARKTechnology999,2024-01-13T19:35:32Z,2024-01-13T19:35:32Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂
@DARKTechnology999,2024-01-13T19:35:16Z,2024-01-13T19:35:16Z,0,",Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂"
@DARKTechnology999,2024-01-13T19:35:05Z,2024-01-13T19:35:05Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂
@DARKTechnology999,2024-01-13T19:34:53Z,2024-01-13T19:34:53Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂
@DARKTechnology999,2024-01-13T19:34:44Z,2024-01-13T19:34:44Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂
@rdxbossbmxridding326,2024-01-13T18:48:35Z,2024-01-13T18:48:35Z,0,Bro stop the hate and racism
@sankalpsuryavanshi4788,2024-01-13T18:45:40Z,2024-01-13T18:45:40Z,0,"Slayy point ke video uncut , unfiltered version lag raha hai ye video"
@queen.x.x,2024-01-13T18:45:18Z,2024-01-13T18:45:18Z,0,❤❤😂
@surbhidey1225,2024-01-13T18:41:22Z,2024-01-13T18:41:22Z,0,Shukar hai muje ye sab khane ka shok nhi h <br>Nhi to main zinda nhi rhti kha k 😂😂
@BAHARAHMADI-xo6hn,2024-01-13T18:35:21Z,2024-01-13T18:35:21Z,1,Last moyh moyh 😂
@Pihudixit143,2024-01-13T18:22:59Z,2024-01-13T18:22:59Z,2,Carry ke toy ko is video me kisne notice kiya🎉😂
@sanjidmostarin6317,2024-01-13T18:16:43Z,2024-01-13T18:16:43Z,0,😂😂😂😅
@AdityaKumar-qf9ls,2024-01-13T18:08:33Z,2024-01-13T18:08:33Z,1,Jo man krta bo pkka ke bech diys jata hai India me
@KunalSharma-hi5eo,2024-01-13T18:03:38Z,2024-01-13T18:03:38Z,0,Paan sinh Burger😂
@VShortsC25,2024-01-13T17:55:52Z,2024-01-13T17:55:52Z,0,Hello
@bishalnath8512,2024-01-13T17:52:42Z,2024-01-13T17:52:42Z,0,Rajnigandha omlet was missing bro...🤣🤣🤣
@user-kr4mc8bk4y,2024-01-13T17:41:38Z,2024-01-13T17:41:38Z,0,❤❤❤ wow
@user-sg7fu7cs5x,2024-01-13T17:34:59Z,2024-01-13T17:34:59Z,0,Rdj bol k kama kam tareef kerdiya😂
@user-pn3iw6lq2z,2024-01-13T17:28:05Z,2024-01-13T17:28:05Z,0,Carry we like your old contents they sexy
@user-pn3iw6lq2z,2024-01-13T17:28:05Z,2024-01-13T17:28:05Z,0,Carry we like your old contents they sexy
@user-pn3iw6lq2z,2024-01-13T17:26:40Z,2024-01-13T17:26:40Z,0,Carry we like your old contents they sexy
@user-pn3iw6lq2z,2024-01-13T17:26:27Z,2024-01-13T17:26:27Z,0,Carry we like your old contents they sexy
@anjalitiwari9343,2024-01-13T17:19:19Z,2024-01-13T17:19:19Z,0,😂😂😂😂😂😂
@Yashashvibhatra,2024-01-13T17:03:59Z,2024-01-13T17:03:59Z,0,"<a href=""https://youtube.com/shorts/Cqn3CsgARko?si=PVwvKXFO_shLuAsi"">https://youtube.com/shorts/Cqn3CsgARko?si=PVwvKXFO_shLuAsi</a>"
@nipurnanst3465,2024-01-13T17:02:41Z,2024-01-13T17:02:41Z,0,Burger wala paan chiiiii😂😂😂
@ChaudhryUmer_,2024-01-13T17:01:46Z,2024-01-13T17:01:46Z,0,3M likes 👍 done
@princegamer7452,2024-01-13T17:01:05Z,2024-01-13T17:01:05Z,0,Jaldi se subscribe karo do yrr
@VivekSingh-ye4bk,2024-01-13T17:01:00Z,2024-01-13T17:01:10Z,0,"At <a href=""https://www.youtube.com/watch?v=vcLRWiTNCbQ&amp;t=5m56s"">5:56</a> wo uncle to humare yaha bechte hain😂😂😂"
@murgabazi9727,2024-01-13T16:51:48Z,2024-01-13T16:51:48Z,0,Old carry minati is back 😂😂😂😂😂  welcome back carry bhai😂😂😂
@hatimbabar6546,2024-01-13T16:50:51Z,2024-01-13T16:50:51Z,0,"<a href=""https://youtube.com/@AhmadBabar-vk5eq?si=8XC-Ay9r6JG0WhBe"">https://youtube.com/@AhmadBabar-vk5eq?si=8XC-Ay9r6JG0WhBe</a>"
@user-wm8ls1zp9k,2024-01-13T16:49:25Z,2024-01-13T16:49:25Z,0,Please Ajay bhai aap video Dala karo Kyunki aapke subscribers 41 million 41 million point subscriber hai baat abhi aap recently Asia ka sabse bada youtuber Nahin raha hai please India Walon Ajay Bhai Ko Itna subscribe karo ki 50 million Kyon Ho Jaaye please biggest youtuber in Asia for carryminati
@ramakantsharma8093,2024-01-13T16:43:58Z,2024-01-13T16:43:58Z,0,Tum ithni gali kuu data ho
@gamingcontent.,2024-01-13T16:34:54Z,2024-01-13T16:34:54Z,0,"<a href=""https://youtu.be/F5NtBo6PEGs?si=xAjAqmW27Xd8_UNn"">https://youtu.be/F5NtBo6PEGs?si=xAjAqmW27Xd8_UNn</a>"
@mdanwaransari7443,2024-01-13T16:21:17Z,2024-01-13T16:21:17Z,1,Maza aya yaar
@BhumiSoni-lp5ki,2024-01-13T16:15:28Z,2024-01-13T16:15:28Z,1,"<a href=""https://www.youtube.com/watch?v=vcLRWiTNCbQ&amp;t=2m37s"">2:37</a>"
@Dilawer521,2024-01-13T16:12:46Z,2024-01-13T16:12:46Z,2,Love you love you love you bro 😅😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
@aishgofficial68,2024-01-13T16:09:15Z,2024-01-13T16:09:15Z,0,"<a href=""https://youtu.be/P2cUAPgBqzg?si=spsF9KBeIpTrHj18"">https://youtu.be/P2cUAPgBqzg?si=spsF9KBeIpTrHj18</a>"
@Dilawer521,2024-01-13T15:58:15Z,2024-01-13T15:58:15Z,0,Are yaar😂😂😂😂😂😂
@badanikeshgamer9052,2024-01-13T15:51:33Z,2024-01-13T15:51:33Z,0,Save hasdeo forest
@badanikeshgamer9052,2024-01-13T15:51:16Z,2024-01-13T15:51:16Z,0,Save hasdeo forest
@badanikeshgamer9052,2024-01-13T15:50:56Z,2024-01-13T15:50:56Z,0,Save hasdeo forest
@badanikeshgamer9052,2024-01-13T15:50:43Z,2024-01-13T15:50:43Z,0,Save hasdeo forest
@badanikeshgamer9052,2024-01-13T15:50:18Z,2024-01-13T15:50:18Z,0,"<a href=""http://www.youtube.com/results?search_query=%23save"">#save</a> hasdeo"
@user-wy6mn8lg1b,2024-01-13T15:50:17Z,2024-01-13T15:50:17Z,0,carry bhai plz put the English subtitle. I am from bhutan
@badanikeshgamer9052,2024-01-13T15:49:55Z,2024-01-13T15:49:55Z,0,"<a href=""http://www.youtube.com/results?search_query=%23save"">#save</a> hasdeo"
@badanikeshgamer9052,2024-01-13T15:49:39Z,2024-01-13T15:49:39Z,0,"<a href=""http://www.youtube.com/results?search_query=%23save"">#save</a> hasdeo"
@badanikeshgamer9052,2024-01-13T15:49:26Z,2024-01-13T15:49:26Z,0,"<a href=""http://www.youtube.com/results?search_query=%23save"">#save</a> hasdeo"
@badanikeshgamer9052,2024-01-13T15:49:05Z,2024-01-13T15:49:05Z,0,"<a href=""http://www.youtube.com/results?search_query=%23save"">#save</a> hasdeo<br><a href=""http://www.youtube.com/results?search_query=%23save"">#save</a> hasdeo<br>😢"
@badanikeshgamer9052,2024-01-13T15:48:36Z,2024-01-13T15:48:36Z,0,Save hasdeo<br>😢
@PrajjwalBaranwal-hn8ur,2024-01-13T15:48:34Z,2024-01-13T15:48:34Z,0,Carry bro free fire pe rost karo
@_Noob_999,2024-01-13T15:46:04Z,2024-01-13T15:46:04Z,0,"<a href=""https://www.youtube.com/watch?v=vcLRWiTNCbQ&amp;t=4m08s"">4:08</a><br>Ooo bhaaiii ...<br>Ye sabse badhiya hai.....😂😂😂😂😂😂"
@Sarvent_of_all_god_7,2024-01-13T15:45:06Z,2024-01-13T15:45:06Z,0,Comment padne aye ho n 😊
@CuteCurl360,2024-01-13T15:38:39Z,2024-01-13T15:38:39Z,0,Burgar pan 😂😂😂😂
@CarryMinati,2023-12-24T07:09:24Z,2023-12-24T07:09:24Z,62977,"Happy new year! sabhee ko shukriya iss saal itna pyaar dene ke liye man kar raha hai tum sabka kadi chawaal mein chocolate daalke khilaun, Gulabi dil gulabi dil."
@milonacharjee9554,2024-01-14T05:58:58Z,2024-01-14T05:58:58Z,0,Love from tripura ❤
@ShahidRz,2024-01-14T05:36:33Z,2024-01-14T05:36:33Z,0,Mera comment kab viral hoga 😢<br><br>Kya Aap Affiliate Marketing Karke 80%  Se  90% 😱 💸 Commission kamana Chahte Ho  | 👇 Read Captions 👇<br>.<br>.<br>.<br> Agar aap Amazon Ya Flipkart Par Affiliate Marketing Karte Ho Waha Aap ko Sirf 7% Ya 8% 🥺  Commission&quot; Milega 😢 Lekin Me Aap Ko Ek Aisi Website batane Wala Hu Jise Aap Affiliate Marketing Karke 80% Se 90% 😱  Commission&quot; Milega 💸🤑 Agar Jana Chahte ? 🤔 Ho Toh Reply Karo Batao Ga  or  Ye India 🇮🇳 Ki Legal Website Hai Chahe Toh Documents Dikhata📄 Hu Reply Karo ✍️ Batao Ga 👍
@FryTokGaming,2024-01-14T05:34:39Z,2024-01-14T05:34:39Z,0,"<a href=""https://www.youtube.com/watch?v=vcLRWiTNCbQ&amp;t=6m34s"">6:34</a>  Moye moye was personal 💀🤣"
@SCORPIOLOVER010,2024-01-14T05:30:22Z,2024-01-14T05:30:22Z,0,"Shayari store 0001 like kro abh i <a href=""https://www.youtube.com/watch?v=vcLRWiTNCbQ&amp;t=1m36s"">1:36</a>"
@exitedboy295,2024-01-14T05:18:37Z,2024-01-14T05:18:37Z,0,❤❤❤
@ramkatara8541,2024-01-14T05:17:54Z,2024-01-14T05:17:54Z,0,ye ladki ne itna kese kha lia bhai 😅😅😅😅😅
@pakgamers411,2024-01-14T04:26:11Z,2024-01-14T04:26:11Z,0,Bro Please Shout Out Me Big Fan🎉🎉❤❤❤
@stylishprincejavad,2024-01-14T04:25:03Z,2024-01-14T04:25:03Z,0,Moye moye was epic 😂😂😂
@ZIXIYO,2024-01-14T04:23:45Z,2024-01-14T04:23:45Z,0,Carry bhai 1 naya cringe youtuber milla uske YT channel ka naam he Prateekkhambra
@user-et3sp4qr3b,2024-01-14T04:23:08Z,2024-01-14T04:23:08Z,0,Sale ab banale vimal ka paratha 😂
@user-rs7lw1nf4k,2024-01-14T03:48:46Z,2024-01-14T03:48:46Z,0,Binod
@firstlinefirst2978,2024-01-14T03:38:21Z,2024-01-14T03:38:21Z,0,क्या आपकी टीम फ़िलिस्तीन या इज़राइल है?
@Prathamesh_chivade,2024-01-14T03:16:44Z,2024-01-14T03:16:44Z,0,Plzz sir
@RahulSingh-jq9ni,2024-01-14T03:06:05Z,2024-01-14T03:06:05Z,0,😅
@devdhar2584,2024-01-14T03:05:09Z,2024-01-14T03:05:09Z,0,"Dear carry you can lead the whole youth in the positive  direction , superb ❤"
@laxmi.....phukan.......sel5045,2024-01-14T03:02:09Z,2024-01-14T03:02:09Z,0,Murgo ka khandaan 🤣🤣🤣
@shivrajsavra6619,2024-01-14T02:57:14Z,2024-01-14T02:57:34Z,1,My dream is (SI) बोले तो sud inspector ...
@hq1gamer554,2024-01-14T02:50:58Z,2024-01-14T02:50:58Z,1,Love you carry Bhai ❤❤❤❤
@jannatsky1m486,2024-01-14T02:48:19Z,2024-01-14T02:48:19Z,0,Ajju bhai ke face reveal par video banao please please
@user-zp2hr6wf6y,2024-01-14T02:23:30Z,2024-01-14T02:23:30Z,0,😂😂😂
@user-er5xn7hf7k,2024-01-14T01:38:12Z,2024-01-14T01:38:12Z,0,PLEASE GIVE UC FOR MY PUBG ACCOUNT PLEASE<br>Region : pakistan<br>51817816302
@user-er5xn7hf7k,2024-01-14T01:38:04Z,2024-01-14T01:38:04Z,0,PLEASE GIVE UC FOR MY PUBG ACCOUNT PLEASE<br>Region : pakistan<br>51817816302
@jubayernasim2437,2024-01-13T23:15:05Z,2024-01-13T23:15:05Z,0,"Fan hu tera , thu kisiki video deka lakin hamari desh Bangladesh ki Nam q use Kiya. 🇧🇩🇧🇩🇧🇩"
@huzzigamelikemadness,2024-01-13T23:04:19Z,2024-01-13T23:04:19Z,0,😂😂😂😂😂😂😂😂😂 yar 😂😂😂😂😂😂😂😂😭😭😭
@kryzaane9370,2024-01-13T21:52:34Z,2024-01-13T21:52:34Z,1,Chii I can&#39;t see the full video etne gaande combination Wale foods ❌
@goth_beach,2024-01-13T21:41:42Z,2024-01-13T21:41:42Z,1,"<a href=""https://www.youtube.com/watch?v=vcLRWiTNCbQ&amp;t=5m26s"">5:26</a> bhaiya ka soda🫦🫦🫦🔥🔥🥵🥵🥵🥵🥵"
@vinodsouda,2024-01-13T21:39:29Z,2024-01-13T21:39:29Z,1,"Hi brother, one request to you and all my Indians friends now In These days some Africans posting some disturbing video about indian Street food  and that became more viral in abroad usa .Canada. ln European countries please do. Something if Possible"
@AVINASH-ri2vg,2024-01-13T21:10:20Z,2024-01-13T21:10:20Z,1,Carry 🎉🎉
@DESIBOYSK.,2024-01-13T20:33:46Z,2024-01-13T20:33:46Z,0,Total gaming fan like
@tiyajain6892,2024-01-13T20:32:54Z,2024-01-13T20:32:54Z,0,Bhai kya pela h moj krdi
@tiyajain6892,2024-01-13T20:25:30Z,2024-01-13T20:25:30Z,0,Shikanji armstrong😂😂
@khushichowdhary807,2024-01-13T20:13:36Z,2024-01-13T20:13:36Z,1,Vo lal ab lal nhi rha kala ho chu ka he😢😢😅😅
@Star-mx1vw,2024-01-13T20:06:39Z,2024-01-13T20:06:39Z,0,"<a href=""https://youtube.com/shorts/_s1pEOBlOyg?si=j9uYLOtkA4Jw1Iw_"">https://youtube.com/shorts/_s1pEOBlOyg?si=j9uYLOtkA4Jw1Iw_</a>"
@snakeman760,2024-01-13T19:56:29Z,2024-01-13T19:56:29Z,0,😂
@socialmediaviral0,2024-01-13T19:55:22Z,2024-01-13T19:55:22Z,0,Carry Bhai Pakistani 🇵🇰 Youtuber ko thikane lago&#39;n Humare Desh Ke Bare Main anap sanap bolte hai ❤❤❤
@AMAXGAMING_..,2024-01-13T19:55:12Z,2024-01-13T19:55:12Z,0,Please carry Bhai sayadzan9 ko rost karo bhai 😅😅😅😅😅😅😅😅😅😅
@roshanidakhode1061,2024-01-13T19:52:23Z,2024-01-13T19:52:23Z,0,Carry bhai we want to see you in bigg boss❤️👍
@khatrifamilyvlogs2585,2024-01-13T19:45:04Z,2024-01-13T19:45:04Z,0,Oh my god what a Vlog 😅😅😅😅😅😂😂😂😂😂<br>I wish he roast my video 😂😂😂😂
@luckychouhan43,2024-01-13T19:41:10Z,2024-01-13T19:41:10Z,0,Carry bhai op😂😂😂
@DARKTechnology999,2024-01-13T19:37:40Z,2024-01-13T19:37:40Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂
@DARKTechnology999,2024-01-13T19:37:29Z,2024-01-13T19:37:29Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂
@DARKTechnology999,2024-01-13T19:37:18Z,2024-01-13T19:37:18Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂. Ase video  bna ke ma. C@dedo 😂😂😂
@DARKTechnology999,2024-01-13T19:36:40Z,2024-01-13T19:36:40Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂.
@DARKTechnology999,2024-01-13T19:36:23Z,2024-01-13T19:36:23Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂. Fast 😂
@DARKTechnology999,2024-01-13T19:36:09Z,2024-01-13T19:36:09Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂 pliss
@DARKTechnology999,2024-01-13T19:35:50Z,2024-01-13T19:35:50Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂
@DARKTechnology999,2024-01-13T19:35:32Z,2024-01-13T19:35:32Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂
@DARKTechnology999,2024-01-13T19:35:16Z,2024-01-13T19:35:16Z,0,",Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂"
@DARKTechnology999,2024-01-13T19:35:05Z,2024-01-13T19:35:05Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂
@DARKTechnology999,2024-01-13T19:34:53Z,2024-01-13T19:34:53Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂
@DARKTechnology999,2024-01-13T19:34:44Z,2024-01-13T19:34:44Z,0,Ok bahi but abb ek col gazites ke uper video bnao jase ek caap  pen etc.😂😂😂
@rdxbossbmxridding326,2024-01-13T18:48:35Z,2024-01-13T18:48:35Z,0,Bro stop the hate and racism
@sankalpsuryavanshi4788,2024-01-13T18:45:40Z,2024-01-13T18:45:40Z,0,"Slayy point ke video uncut , unfiltered version lag raha hai ye video"
@queen.x.x,2024-01-13T18:45:18Z,2024-01-13T18:45:18Z,0,❤❤😂
@surbhidey1225,2024-01-13T18:41:22Z,2024-01-13T18:41:22Z,0,Shukar hai muje ye sab khane ka shok nhi h <br>Nhi to main zinda nhi rhti kha k 😂😂
@BAHARAHMADI-xo6hn,2024-01-13T18:35:21Z,2024-01-13T18:35:21Z,1,Last moyh moyh 😂
@Pihudixit143,2024-01-13T18:22:59Z,2024-01-13T18:22:59Z,2,Carry ke toy ko is video me kisne notice kiya🎉😂
@sanjidmostarin6317,2024-01-13T18:16:43Z,2024-01-13T18:16:43Z,0,😂😂😂😅
@AdityaKumar-qf9ls,2024-01-13T18:08:33Z,2024-01-13T18:08:33Z,1,Jo man krta bo pkka ke bech diys jata hai India me
@KunalSharma-hi5eo,2024-01-13T18:03:38Z,2024-01-13T18:03:38Z,0,Paan sinh Burger😂
@VShortsC25,2024-01-13T17:55:52Z,2024-01-13T17:55:52Z,0,Hello
@bishalnath8512,2024-01-13T17:52:42Z,2024-01-13T17:52:42Z,0,Rajnigandha omlet was missing bro...🤣🤣🤣
@user-kr4mc8bk4y,2024-01-13T17:41:38Z,2024-01-13T17:41:38Z,0,❤❤❤ wow
@user-sg7fu7cs5x,2024-01-13T17:34:59Z,2024-01-13T17:34:59Z,0,Rdj bol k kama kam tareef kerdiya😂
@user-pn3iw6lq2z,2024-01-13T17:28:05Z,2024-01-13T17:28:05Z,0,Carry we like your old contents they sexy
@user-pn3iw6lq2z,2024-01-13T17:28:05Z,2024-01-13T17:28:05Z,0,Carry we like your old contents they sexy
@user-pn3iw6lq2z,2024-01-13T17:26:40Z,2024-01-13T17:26:40Z,0,Carry we like your old contents they sexy
@user-pn3iw6lq2z,2024-01-13T17:26:27Z,2024-01-13T17:26:27Z,0,Carry we like your old contents they sexy
